game_result,time,kda,vis/cs_score,kill_p.
Victory,34min 11s,10 / 7 / 23,57 Vis.,55% Kills P.
Victory,19min 0s,11 / 2 / 6,31 Vis.,65% Kills P.
Victory,31min 50s,4 / 2 / 14,56 Vis.,72% Kills P.
Victory,24min 25s,5 / 5 / 7,44 Vis.,39% Kills P.
Victory,36min 21s,20 / 7 / 16,71 Vis.,68% Kills P.
Defeat,22min 12s,16 / 10 / 22,62 CS,73% Kills P.
Defeat,28min 11s,3 / 8 / 6,38 Vis.,35% Kills P.
Victory,42min 54s,4 / 4 / 32,92 Vis.,59% Kills P.
Victory,30min 7s,4 / 6 / 13,64 Vis.,44% Kills P.
Defeat,26min 39s,4 / 5 / 7,109 CS,48% Kills P.
Victory,28min 32s,2 / 7 / 14,56 Vis.,46% Kills P.
Victory,28min 18s,15 / 3 / 14,58 Vis.,66% Kills P.
Defeat,15min 27s,1 / 4 / 2,10 Vis.,43% Kills P.
Victory,24min 33s,2 / 3 / 11,35 Vis.,42% Kills P.
Defeat,32min 25s,8 / 7 / 13,49 Vis.,68% Kills P.
Defeat,38min 58s,14 / 5 / 23,60 Vis.,69% Kills P.
Defeat,11min 41s,2 / 3 / 0,8 Vis.,29% Kills P.
Victory,32min 57s,7 / 9 / 12,63 Vis.,46% Kills P.
Victory,32min 29s,12 / 6 / 16,66 Vis.,49% Kills P.
Defeat,38min 1s,3 / 9 / 19,56 Vis.,51% Kills P.
Victory,39min 25s,10 / 12 / 14,86 Vis.,56% Kills P.
Victory,40min 4s,9 / 7 / 14,96 Vis.,45% Kills P.
Defeat,32min 44s,6 / 9 / 13,63 Vis.,70% Kills P.
Victory,25min 46s,6 / 4 / 13,46 Vis.,54% Kills P.
Victory,28min 11s,10 / 6 / 11,54 Vis.,62% Kills P.
Defeat,29min 35s,3 / 2 / 8,43 Vis.,52% Kills P.
Victory,41min 16s,2 / 11 / 21,75 Vis.,36% Kills P.
Victory,44min 51s,7 / 6 / 14,85 Vis.,53% Kills P.
Victory,31min 36s,8 / 10 / 20,29 Vis.,60% Kills P.
Victory,25min 4s,4 / 4 / 6,39 Vis.,31% Kills P.
Defeat,36min 43s,13 / 7 / 10,73 Vis.,68% Kills P.
Defeat,33min 44s,10 / 6 / 14,75 Vis.,50% Kills P.
Victory,25min 55s,7 / 5 / 11,48 Vis.,40% Kills P.
Defeat,39min 5s,8 / 11 / 13,84 Vis.,54% Kills P.
Victory,31min 22s,7 / 6 / 12,55 Vis.,56% Kills P.
Victory,19min 35s,4 / 4 / 19,36 Vis.,56% Kills P.
Defeat,26min 28s,3 / 8 / 9,46 Vis.,48% Kills P.
Victory,30min 53s,4 / 4 / 15,61 Vis.,40% Kills P.
Victory,25min 26s,7 / 1 / 23,35 Vis.,60% Kills P.
Defeat,30min 40s,6 / 6 / 7,47 Vis.,57% Kills P.
Defeat,16min 25s,4 / 3 / 2,18 Vis.,60% Kills P.
Defeat,34min 8s,4 / 4 / 9,53 Vis.,62% Kills P.
Victory,27min 40s,8 / 5 / 3,56 Vis.,25% Kills P.
Victory,34min 38s,7 / 6 / 21,85 Vis.,55% Kills P.
Defeat,32min 47s,4 / 10 / 7,63 Vis.,37% Kills P.
Victory,35min 2s,10 / 8 / 15,69 Vis.,53% Kills P.
Victory,26min 9s,7 / 3 / 10,42 Vis.,52% Kills P.
Defeat,36min 45s,7 / 6 / 8,57 Vis.,52% Kills P.
Victory,25min 51s,7 / 2 / 11,33 Vis.,50% Kills P.
Victory,32min 30s,9 / 9 / 8,58 Vis.,31% Kills P.
Victory,32min 38s,14 / 4 / 13,55 Vis.,55% Kills P.
Victory,27min 47s,7 / 4 / 18,44 Vis.,61% Kills P.
Defeat,45min 8s,3 / 11 / 7,81 Vis.,24% Kills P.
Victory,32min 6s,9 / 6 / 15,49 Vis.,48% Kills P.
Defeat,31min 35s,2 / 5 / 15,57 Vis.,47% Kills P.
Victory,50min 8s,17 / 11 / 26,90 Vis.,58% Kills P.
Victory,28min 11s,14 / 6 / 18,55 Vis.,63% Kills P.
Defeat,36min 48s,9 / 8 / 15,78 Vis.,60% Kills P.
Victory,37min 2s,15 / 10 / 16,65 Vis.,54% Kills P.
Defeat,24min 39s,9 / 7 / 11,34 Vis.,71% Kills P.
Victory,15min 57s,2 / 1 / 4,28 Vis.,40% Kills P.
Victory,26min 34s,4 / 2 / 13,44 Vis.,43% Kills P.
Victory,46min 54s,15 / 7 / 19,88 Vis.,59% Kills P.
Victory,30min 37s,17 / 5 / 19,43 Vis.,64% Kills P.
Victory,33min 42s,8 / 5 / 15,51 Vis.,42% Kills P.
Victory,22min 28s,0 / 2 / 7,26 Vis.,23% Kills P.
Defeat,34min 26s,5 / 6 / 9,60 Vis.,52% Kills P.
Victory,29min 26s,12 / 10 / 13,60 Vis.,48% Kills P.
Defeat,30min 6s,1 / 6 / 4,37 Vis.,22% Kills P.
Victory,30min 57s,9 / 4 / 12,57 Vis.,49% Kills P.
Victory,42min 22s,8 / 8 / 22,65 Vis.,45% Kills P.
Victory,39min 38s,2 / 10 / 20,60 Vis.,39% Kills P.
Defeat,26min 32s,2 / 7 / 5,13 Vis.,35% Kills P.
Victory,37min 29s,5 / 8 / 27,66 Vis.,56% Kills P.
Defeat,36min 17s,6 / 6 / 7,68 Vis.,42% Kills P.
Victory,32min 5s,10 / 4 / 19,55 Vis.,48% Kills P.
Defeat,29min 32s,1 / 7 / 7,43 Vis.,47% Kills P.
Victory,27min 42s,9 / 3 / 16,53 Vis.,50% Kills P.
Victory,31min 7s,5 / 6 / 17,48 Vis.,55% Kills P.
Defeat,28min 54s,4 / 9 / 9,38 Vis.,46% Kills P.
Defeat,36min 15s,7 / 10 / 8,43 Vis.,50% Kills P.
Defeat,36min 42s,7 / 11 / 16,74 Vis.,41% Kills P.
Victory,16min 27s,1 / 2 / 8,26 Vis.,50% Kills P.
Defeat,22min 38s,1 / 5 / 7,17 Vis.,47% Kills P.
Victory,31min 9s,4 / 6 / 14,55 Vis.,40% Kills P.
Defeat,26min 24s,9 / 5 / 9,39 Vis.,67% Kills P.
Victory,36min 30s,13 / 7 / 20,60 Vis.,67% Kills P.
Victory,28min 44s,1 / 6 / 17,43 Vis.,41% Kills P.
Victory,31min 32s,1 / 7 / 24,41 Vis.,47% Kills P.
Defeat,33min 1s,4 / 10 / 12,63 Vis.,57% Kills P.
Victory,31min 0s,3 / 3 / 26,53 Vis.,69% Kills P.
Victory,17min 57s,6 / 2 / 5,18 Vis.,42% Kills P.
Victory,39min 12s,9 / 8 / 26,71 Vis.,61% Kills P.
Victory,15min 49s,6 / 0 / 9,17 Vis.,79% Kills P.
Defeat,33min 0s,2 / 6 / 6,61 Vis.,30% Kills P.
Victory,32min 30s,8 / 2 / 25,59 Vis.,63% Kills P.
Victory,31min 36s,4 / 5 / 28,60 Vis.,74% Kills P.
Victory,31min 26s,4 / 4 / 30,54 Vis.,65% Kills P.
Defeat,29min 41s,5 / 8 / 17,54 Vis.,46% Kills P.
Defeat,29min 53s,4 / 7 / 8,44 Vis.,50% Kills P.
Victory,32min 12s,14 / 7 / 19,54 Vis.,55% Kills P.
Defeat,29min 9s,7 / 8 / 22,46 Vis.,67% Kills P.
Defeat,34min 37s,3 / 11 / 6,57 Vis.,39% Kills P.
Defeat,34min 31s,4 / 7 / 8,56 Vis.,35% Kills P.
Victory,40min 41s,11 / 7 / 19,75 Vis.,54% Kills P.
Victory,20min 11s,4 / 2 / 8,30 Vis.,38% Kills P.
Defeat,32min 16s,0 / 12 / 17,52 Vis.,38% Kills P.
Victory,37min 36s,3 / 10 / 21,62 Vis.,51% Kills P.
Defeat,33min 4s,1 / 7 / 8,47 Vis.,41% Kills P.
Defeat,26min 23s,4 / 7 / 7,35 Vis.,42% Kills P.
Defeat,37min 36s,6 / 9 / 5,53 Vis.,41% Kills P.
Victory,30min 41s,10 / 2 / 16,35 Vis.,52% Kills P.
Victory,34min 58s,4 / 13 / 27,51 Vis.,63% Kills P.
Defeat,29min 50s,1 / 8 / 4,33 Vis.,20% Kills P.
Victory,18min 23s,5 / 2 / 3,18 Vis.,40% Kills P.
